0 0.4112
0 0.0996
0 0.1252
0 0.1346
0 0.1940
0 0.1560
0 0.0483
0 0.1036
0 0.2267
0 0.0652
0 0.1305
1 0.8253
1 0.8778
0 0.1050
0 0.0437
0 0.1615
1 0.8566
1 0.7030
0 0.1815
0 0.1973
0 0.1858
0 0.2441
0 0.2437
1 0.8846
1 0.9099
0 0.1712
1 0.8770
0 0.1412
0 0.1621
1 0.8735
0 0.1258
1 0.8835
1 0.8741
1 0.8568
1 0.8280
0 0.1485
1 0.7775
0 0.2069
1 0.9023
0 0.1795
0 0.2666
1 0.6743
0 0.2093
1 0.8969
0 0.1557
1 0.6694
0 0.0878
1 0.8900
1 0.8914
1 0.8167
0 0.1771
1 0.8577
0 0.1211
0 0.1341
0 0.1839
0 0.1140
0 0.1993
0 0.1187
1 0.7575
1 0.7835
0 0.1708
0 0.1397
0 0.0845
1 0.7488
1 0.7552
0 0.1275
0 0.3350
0 0.4663
0 0.2474
0 0.1125
1 0.7615
0 0.1774
1 0.7519
1 0.7851
1 0.7979
1 0.8108
0 0.1534
1 0.7800
1 0.8132
0 0.1288
1 0.9249
0 0.1869
0 0.0946
0 0.1621
1 0.7852
1 0.7882
0 0.1621
0 0.1157
0 0.2032
1 0.8957
0 0.2072
1 0.8788
1 0.7657
1 0.9102
1 0.8704
0 0.1174
1 0.8703
0 0.1583
1 0.8036
1 0.8339
0 0.1104
0 0.2455
1 0.9638
1 0.8154
1 0.7769
0 0.1495
1 0.8507
1 0.7879
0 0.0931
0 0.2478
1 0.8363
1 0.8735
0 0.1190
0 0.1790
1 0.8607
0 0.1603
0 0.1397
1 0.9575
0 0.1712
1 0.8928
1 0.8815
0 0.2744
1 0.8069
0 0.1812
1 0.8896
1 0.8321
0 0.1399
0 0.2008
1 0.8354
1 0.7916
0 0.2496
0 0.1710
1 0.6092
1 0.8787
0 0.2567
1 0.9288
0 0.1472
1 0.8181
1 0.6579
0 0.1284
1 0.6665
1 0.8610
0 0.1294
0 0.1474
1 0.7291
1 0.5289
0 0.3224
1 0.5642
0 0.1745
1 0.7581
0 0.1469
0 0.1205
1 0.8614
1 0.8646
1 0.8698
0 0.1686
0 0.0691
0 0.0930
0 0.0639
0 0.1617
1 0.7873
0 0.1314
1 0.7716
0 0.1640
1 0.8587
0 0.1412
1 0.7784
1 0.8169
0 0.2044
1 0.7851
0 0.0919
0 0.1444
0 0.2133
1 0.7827
0 0.0836
1 0.9735
1 0.9325
0 0.2558
1 0.9051
1 0.7147
1 0.8416
0 0.1534
1 0.8162
0 0.1275
0 0.1262
0 0.1634
0 0.5498
1 0.8867
0 0.2127
